分类一	分类二	分类三	分类四	词类名	同义词	
天气词类	集合词#	应用类*		应用名称		
天气词类	集合词#	应用类*			语音秘书	a
天气词类	集合词#	应用类*			msn	a
天气词类	集合词#	应用类*			有道手机词典	a
天气词类	集合词#	应用类*			小说下载阅读器	a
天气词类	集合词#	应用类*			有道词典	a
天气词类	集合词#	应用类*			语音歪歪	a
天气词类	集合词#	应用类*			adobe flash play	a
天气词类	集合词#	应用类*			金山电池医生	a
天气词类	集合词#	应用类*			暴风影音	a
天气词类	集合词#	应用类*			来电通	a
天气词类	集合词#	应用类*			360电池卫士	a
天气词类	集合词#	应用类*			安卓版qq2013	a
天气词类	集合词#	应用类*			移动练歌房	a
天气词类	集合词#	应用类*			es文件浏览器	a
天气词类	集合词#	应用类*			高德地图	a
天气词类	集合词#	应用类*			应用杀手	a
天气词类	集合词#	应用类*			涂鸦跳跃者	a
天气词类	集合词#	应用类*			flash播放器	a
天气词类	集合词#	应用类*			懒人听书	a
天气词类	集合词#	应用类*			飞信	a
天气词类	集合词#	应用类*			风行	a
天气词类	集合词#	应用类*			凯立德移动导航	a
天气词类	集合词#	应用类*			文件管理	a
天气词类	集合词#	应用类*			收件箱	a
天气词类	集合词#	应用类*			二维码条码扫描器	a
天气词类	集合词#	应用类*			爱掌阅读	a
天气词类	集合词#	应用类*			照相机	a
天气词类	集合词#	应用类*			说话的汤姆	a
天气词类	集合词#	应用类*			风行电视	a
天气词类	集合词#	应用类*			百度视频	a
天气词类	集合词#	应用类*			掌上大学	a
天气词类	集合词#	应用类*			新浪微博	a
天气词类	集合词#	应用类*			老虎地图	a
天气词类	集合词#	应用类*			摄像机	a
天气词类	集合词#	应用类*			酷我音乐	a
天气词类	集合词#	应用类*			wifi密码破解	a
天气词类	集合词#	应用类*			电子市场	a
天气词类	集合词#	应用类*			大智慧	a
天气词类	集合词#	应用类*			欧朋浏览器	a
天气词类	集合词#	应用类*			歪歪语音	a
天气词类	集合词#	应用类*			高德导航系统	a
天气词类	集合词#	应用类*			收藏夹	a
天气词类	集合词#	应用类*			个信	a
天气词类	集合词#	应用类*			qq输入法	a
天气词类	集合词#	应用类*			搜狗浏览器	a
天气词类	集合词#	应用类*			pps	a
天气词类	集合词#	应用类*			高德导航	a
天气词类	集合词#	应用类*			招商银行手机银行	a
天气词类	集合词#	应用类*			uc浏览器	a
天气词类	集合词#	应用类*			书旗小说	a
天气词类	集合词#	应用类*			qq阅读	a
天气词类	集合词#	应用类*			猴子也疯狂	a
天气词类	集合词#	应用类*			金山手机卫士	a
天气词类	集合词#	应用类*			cloudary	a
天气词类	集合词#	应用类*			搜狗输入法	a
天气词类	集合词#	应用类*			天天连萌	a
天气词类	集合词#	应用类*			东方财富通	a
天气词类	集合词#	应用类*			百度输入法	a
天气词类	集合词#	应用类*			墨迹天气	a
天气词类	集合词#	应用类*			电子书	a
天气词类	集合词#	应用类*			播放器	a
天气词类	集合词#	应用类*			记事本	a
天气词类	集合词#	应用类*			google maps	a
天气词类	集合词#	应用类*			爱阅读	a
天气词类	集合词#	应用类*			doujiao	a
天气词类	集合词#	应用类*			星空文件管理器	a
天气词类	集合词#	应用类*			大众点评	a
天气词类	集合词#	应用类*			yy语音语音	a
天气词类	集合词#	应用类*			天天浏览器	a
天气词类	集合词#	应用类*			围脖	a
天气词类	集合词#	应用类*			pdf阅读器	a
天气词类	集合词#	应用类*			魔力视频	a
天气词类	集合词#	应用类*			mumayi ma	a
天气词类	集合词#	应用类*			土豆播放器	a
天气词类	集合词#	应用类*			米聊	a
天气词类	集合词#	应用类*			手机管家	a
天气词类	集合词#	应用类*			影音风暴	a
天气词类	集合词#	应用类*			备忘录	a
天气词类	集合词#	应用类*			快图浏览	a
天气词类	集合词#	应用类*			联想乐控	a
天气词类	集合词#	应用类*			360影视大全	a
天气词类	集合词#	应用类*			遨游云浏览器	a
天气词类	集合词#	应用类*			ireader阅读器	a
