分类一	分类二	分类三	分类四	词类名	同义词	
天气词类	集合词#	应用类*		应用名称		
针对性同义词*	重点词*	相关名词		脸部识别		f
针对性同义词*	重点词*	相关名词			脸部识别	f
针对性同义词*	重点词*	相关名词			面部识别	f
针对性同义词*	重点词*	相关名词			脸部标识	f
针对性同义词*	重点词*	相关名词			人脸识别	f
通用同义词	常用词	名词%n		可见度		f
通用同义词	常用词	名词%n			可见度	f
通用同义词	常用词	名词%n			可见性	f
针对性同义词*	重点词*	相关名词		光标		f
针对性同义词*	重点词*	相关名词			光标	f
针对性同义词*	重点词*	相关名词		体感拨号		f
针对性同义词*	重点词*	相关名词			体感拔号	f
针对性同义词*	重点词*	相关名词			体感拨号	f
针对性同义词*	重点词*	相关名词		sl-m2876hn		f
针对性同义词*	重点词*	相关名词			m2876hn	f
针对性同义词*	重点词*	相关名词			sl-m2876hn	f
针对性同义词*	重点词*	相关名词		mmi码		f
针对性同义词*	重点词*	相关名词			mmi码	f
针对性同义词*	重点词*	相关名词		ptp		f
针对性同义词*	重点词*	相关名词			ptp mode	f
针对性同义词*	重点词*	相关名词			ptpmode	f
针对性同义词*	重点词*	相关名词			ptp	f
针对性同义词*	重点词*	相关名词		移动数据		f
针对性同义词*	重点词*	相关名词			gprs	f
针对性同义词*	重点词*	相关名词			移动数据	f
针对性同义词*	重点词*	相关名词		光学防抖		f
针对性同义词*	重点词*	相关名词			光学防抖	f
针对性同义词*	重点词*	相关名词			ois	f
针对性同义词*	重点词*	相关名词			ois防抖	f
针对性同义词*	重点词*	相关名词		闪传		f
针对性同义词*	重点词*	相关名词			闪传	f
针对性同义词*	重点词*	相关名词			快传	f
针对性同义词*	重点词*	相关名词			闪电传输	f
针对性同义词*	重点词*	相关名词		防打扰		f
针对性同义词*	重点词*	相关名词			防打扰功能	f
针对性同义词*	重点词*	相关名词			勿扰模式	f
针对性同义词*	重点词*	相关名词			防打扰	f
针对性同义词*	重点词*	相关名词		飞行模式		f
针对性同义词*	重点词*	相关名词			航班模式	f
针对性同义词*	重点词*	相关名词			飞机模式	f
针对性同义词*	重点词*	相关名词			飞行模式	f
针对性同义词*	重点词*	相关名词			航空模式	f
针对性同义词*	重点词*	相关名词		清卸模式		f
针对性同义词*	重点词*	相关名词			清卸模式	f
针对性同义词*	重点词*	相关名词		提示音		f
针对性同义词*	重点词*	相关名词			提示音	f
针对性同义词*	重点词*	相关名词			提示声音	f
针对性同义词*	重点词*	其他重点词*		留声拍照		f
针对性同义词*	重点词*	其他重点词*			留声照片	f
针对性同义词*	重点词*	其他重点词*			留声拍照	f
针对性同义词*	重点词*	其他重点词*			留声模式	f
针对性同义词*	重点词*	其他重点词*		双待		f
针对性同义词*	重点词*	其他重点词*			双待	f
针对性同义词*	重点词*	其他重点词*			双待机	f
针对性同义词*	重点词*	其他重点词*		红外		f
针对性同义词*	重点词*	其他重点词*			红外缐	f
针对性同义词*	重点词*	其他重点词*			红外线	f
针对性同义词*	重点词*	其他重点词*			红外	f
针对性同义词*	重点词*	其他重点词*			红外光	f
针对性同义词*	重点词*	其他重点词*		闹铃		f
针对性同义词*	重点词*	其他重点词*			闹钟	f
针对性同义词*	重点词*	其他重点词*			响零	f
针对性同义词*	重点词*	其他重点词*			响铃	f
针对性同义词*	重点词*	其他重点词*			铃声	f
