分类一	分类二	分类三	分类四	词类名	同义词	
天气词类	集合词#	应用类*		应用名称		
通用同义词	常用词	名词%n		遥控机		h
通用同义词	常用词	名词%n			遥控机	h
通用同义词	常用词	名词%n			遥控器	h
通用同义词	常用词	名词%n		耳塞		h
通用同义词	常用词	名词%n			耳塞	h
通用同义词	常用词	名词%n		键盘灯		h
通用同义词	常用词	名词%n			键盘灯	h
通用同义词	常用词	名词%n		卡槽二		h
通用同义词	常用词	名词%n			卡2槽	h
通用同义词	常用词	名词%n			卡槽2	h
通用同义词	常用词	名词%n			卡二槽	h
通用同义词	常用词	名词%n			卡槽二	h
通用同义词	常用词	名词%n		照相机		h
通用同义词	常用词	名词%n		主页键		h
通用同义词	常用词	名词%n			主页键	h
通用同义词	常用词	名词%n			home键	h
通用同义词	常用词	名词%n		tplink		h
通用同义词	常用词	名词%n			tp-link	h
通用同义词	常用词	名词%n			tplink	h
通用同义词	常用词	名词%n		u盾		h
通用同义词	常用词	名词%n			u盾	h
通用同义词	常用词	名词%n		毛玻璃		h
通用同义词	常用词	名词%n			毛玻璃	h
通用同义词	常用词	名词%n		横杠		h
通用同义词	常用词	名词%n			横条	h
通用同义词	常用词	名词%n			横条条	h
通用同义词	常用词	名词%n			横杠	h
通用同义词	常用词	名词%n		手机包		h
通用同义词	常用词	名词%n			手机包	h
通用同义词	常用词	名词%n		加键		h
通用同义词	常用词	名词%n			加键	h
通用同义词	常用词	名词%n			上键	h
通用同义词	常用词	名词%n		桥接		h
通用同义词	常用词	名词%n			中继	h
通用同义词	常用词	名词%n			桥接	h
通用同义词	常用词	名词%n		插孔		h
通用同义词	常用词	名词%n			插孔	h
通用同义词	常用词	名词%n		螺丝		h
通用同义词	常用词	名词%n			螺丝	h
通用同义词	常用词	名词%n		套头		h
通用同义词	常用词	名词%n			套头	h
通用同义词	常用词	名词%n		音响		h
通用同义词	常用词	名词%n			音箱	h
通用同义词	常用词	名词%n			低音炮	h
通用同义词	常用词	名词%n			soundbar	h
通用同义词	常用词	名词%n		非球面		h
通用同义词	常用词	名词%n			非球面	h
通用同义词	常用词	名词%n		卡套		h
通用同义词	常用词	名词%n			卡套	h
