分类一	分类二	分类三	分类四	词类名	同义词	
针对性同义词*	重点词*	手机型号		畅享7 PLUS		
针对性同义词*	重点词*	手机型号			华为畅享7 Plus	
针对性同义词*	重点词*	手机型号			畅享7 Plus	
针对性同义词*	重点词*	手机型号			畅享 7Plus	
针对性同义词*	重点词*	手机型号			畅想7 plus	
针对性同义词*	重点词*	手机型号			畅享7 p	
针对性同义词*	重点词*	手机型号			畅享7Plus	
针对性同义词*	重点词*	手机型号			7plus	
针对性同义词*	重点词*	手机型号			畅享7p	
针对性同义词*	重点词*	手机型号			7 plus	
针对性同义词*	重点词*	手机型号		荣耀畅玩6A		
针对性同义词*	重点词*	手机型号			荣耀 畅玩 6A	
针对性同义词*	重点词*	手机型号			荣耀畅玩 6A	
针对性同义词*	重点词*	手机型号			Delhi-AL10B	
针对性同义词*	重点词*	手机型号			Delhi-TL20B	
针对性同义词*	重点词*	手机型号			荣耀畅玩6A	
针对性同义词*	重点词*	手机型号			畅玩 6A	
针对性同义词*	重点词*	手机型号			Delhi-TL20A	
针对性同义词*	重点词*	手机型号			荣耀 畅玩6A	
针对性同义词*	重点词*	手机型号			荣耀6A	
针对性同义词*	重点词*	手机型号			6A	
针对性同义词*	重点词*	手机型号			畅玩6A	
针对性同义词*	重点词*	手机型号			Delhi-AL10A	
针对性同义词*	重点词*	手机型号		HUAWEI NOVA 2 PLUS		
针对性同义词*	重点词*	手机型号			Barca-AL00A	
针对性同义词*	重点词*	手机型号			nova 2plus	
针对性同义词*	重点词*	手机型号			nova 2 plus	
针对性同义词*	重点词*	手机型号			HUAWEI nova 2 Plus	
针对性同义词*	重点词*	手机型号			Barca-TL00A	
针对性同义词*	重点词*	手机型号			HUAWEI nova2 Plus	
针对性同义词*	重点词*	手机型号			nova 2 p	
针对性同义词*	重点词*	手机型号			nova2p	
针对性同义词*	重点词*	手机型号			nova2 plus	
针对性同义词*	重点词*	手机型号		荣耀9		
针对性同义词*	重点词*	手机型号			honor 9	
针对性同义词*	重点词*	手机型号			荣耀 9	
针对性同义词*	重点词*	手机型号			荣耀9	
针对性同义词*	重点词*	手机型号			huawei honor9	
针对性同义词*	重点词*	手机型号			STF-AL0	
针对性同义词*	重点词*	手机型号			honor9	
针对性同义词*	重点词*	手机型号			huawie honor 9	
针对性同义词*	重点词*	手机型号			华为荣耀9	
针对性同义词*	重点词*	手机型号			STF-TL10	
针对性同义词*	重点词*	手机型号			STF-AL00	
针对性同义词*	重点词*	手机型号			华为 荣耀 9	
针对性同义词*	重点词*	手机型号			荣耀九	
针对性同义词*	重点词*	手机型号		华为NOVA青春版		
针对性同义词*	重点词*	手机型号			WAS-TL10	
针对性同义词*	重点词*	手机型号			nova青春版	
针对性同义词*	重点词*	手机型号			华为nova青春版	
针对性同义词*	重点词*	手机型号			huawei nova青春版	
针对性同义词*	重点词*	手机型号			华为 nova青春版	
针对性同义词*	重点词*	手机型号			nova 青春版	
针对性同义词*	重点词*	手机型号			华为 nova 青春版	
针对性同义词*	重点词*	手机型号			华为nova 青春版	
针对性同义词*	重点词*	手机型号			huawei nova 青春版	
针对性同义词*	重点词*	手机型号			Warsaw-TL10	
针对性同义词*	重点词*	手机型号		荣耀畅玩5C		
针对性同义词*	重点词*	手机型号			华为荣耀畅玩5C	
针对性同义词*	重点词*	手机型号			NEM-AL00	
针对性同义词*	重点词*	手机型号			NEMAL10	
针对性同义词*	重点词*	手机型号			NEM-TL00	
针对性同义词*	重点词*	手机型号			NEMT L00	
针对性同义词*	重点词*	手机型号			荣耀畅玩5C	
针对性同义词*	重点词*	手机型号			畅玩5C	
针对性同义词*	重点词*	手机型号			NEM-TL00H	
针对性同义词*	重点词*	手机型号			华为5C	
针对性同义词*	重点词*	手机型号			华为畅玩5C	
针对性同义词*	重点词*	手机型号			5C	
针对性同义词*	重点词*	手机型号			NEMTL00	
针对性同义词*	重点词*	手机型号			畅玩 5C	
针对性同义词*	重点词*	手机型号			NEM-UL10	
针对性同义词*	重点词*	手机型号			NEM-AL10	
针对性同义词*	重点词*	手机型号			荣耀5C	
针对性同义词*	重点词*	手机型号		H30T10		
针对性同义词*	重点词*	手机型号			H30T10	
针对性同义词*	重点词*	手机型号			H30-T10	
针对性同义词*	重点词*	手机型号		G610		
针对性同义词*	重点词*	手机型号			G610	
针对性同义词*	重点词*	手机型号		Y518		
针对性同义词*	重点词*	手机型号			Y518	
针对性同义词*	重点词*	手机型号		荣耀4A全网通版		
针对性同义词*	重点词*	手机型号			荣耀4A全网通	
针对性同义词*	重点词*	手机型号			SL-AL00	
针对性同义词*	重点词*	手机型号			荣耀4A全网通版	
针对性同义词*	重点词*	手机型号			SCLAL00	
针对性同义词*	重点词*	手机型号			荣耀4A双卡双待全网通版	
针对性同义词*	重点词*	手机型号		G9青春版		
针对性同义词*	重点词*	手机型号			G9 青春版	
针对性同义词*	重点词*	手机型号			G9	
针对性同义词*	重点词*	手机型号			HUAWEIG9青春版	
针对性同义词*	重点词*	手机型号			华为G9青春版	
针对性同义词*	重点词*	手机型号			G9青春版	
针对性同义词*	重点词*	手机型号			G9青春版手机	
针对性同义词*	重点词*	手机型号		G620		
针对性同义词*	重点词*	手机型号			G620	
针对性同义词*	重点词*	手机型号			G620-UL00	
针对性同义词*	重点词*	手机型号		GEM 703LT		
针对性同义词*	重点词*	手机型号			GEM-703LT	
针对性同义词*	重点词*	手机型号			GEM 703LT	
针对性同义词*	重点词*	手机型号		麦芒C199		
针对性同义词*	重点词*	手机型号			华为C199	
针对性同义词*	重点词*	手机型号			C199CL00	
针对性同义词*	重点词*	手机型号			麦芒C199	
针对性同义词*	重点词*	手机型号			C199-CL00	
针对性同义词*	重点词*	手机型号			麦芒 C199	
针对性同义词*	重点词*	手机型号			C199	
针对性同义词*	重点词*	手机型号			HUAWEI C199-CL00	
针对性同义词*	重点词*	手机型号			C199 CL00	
针对性同义词*	重点词*	手机型号		6PLUS移动渠道版		
针对性同义词*	重点词*	手机型号			华为荣耀6PLUS移动渠道版	
针对性同义词*	重点词*	手机型号			荣耀6PLUS移动渠道版	
针对性同义词*	重点词*	手机型号			6PLUS移动4GPETL20	
针对性同义词*	重点词*	手机型号			PETL20	
针对性同义词*	重点词*	手机型号			荣耀6PLUS移动标配版渠道	
针对性同义词*	重点词*	手机型号			移动4GPETL20	
针对性同义词*	重点词*	手机型号			6P移动渠道版	
针对性同义词*	重点词*	手机型号			4GPE-TL20	
针对性同义词*	重点词*	手机型号			6PLUS移动渠道版	
针对性同义词*	重点词*	手机型号			6P移动4GPETL20	
针对性同义词*	重点词*	手机型号		6PLUS移动定制版		
针对性同义词*	重点词*	手机型号			6P移动4GPETLOOM	
针对性同义词*	重点词*	手机型号			6P移动定制版	
针对性同义词*	重点词*	手机型号			华为荣耀6PLUS移动定制版	
针对性同义词*	重点词*	手机型号			移动4GPETLOOM	
针对性同义词*	重点词*	手机型号			华为6P移动定制版	
针对性同义词*	重点词*	手机型号			6PLUS移动定制版	
针对性同义词*	重点词*	手机型号			华为6PLUS移动定制版	
针对性同义词*	重点词*	手机型号			荣耀6PLUS移动4GPETLOOM	
针对性同义词*	重点词*	手机型号			荣耀6PLUS移动定制版	
针对性同义词*	重点词*	手机型号			4GPE-TLOOM	
针对性同义词*	重点词*	手机型号		荣耀NOTE8		
针对性同义词*	重点词*	手机型号			NOTE	
针对性同义词*	重点词*	手机型号			NOTE8	
针对性同义词*	重点词*	手机型号			荣耀NOT8	
针对性同义词*	重点词*	手机型号			NOTE 8	
针对性同义词*	重点词*	手机型号			荣耀 NOTE 8	
针对性同义词*	重点词*	手机型号			EDISON	
针对性同义词*	重点词*	手机型号			荣耀NOTE8	
针对性同义词*	重点词*	手机型号		C8817E		
针对性同义词*	重点词*	手机型号			C8817E	
针对性同义词*	重点词*	手机型号		3C联通3G		
针对性同义词*	重点词*	手机型号			3C联通3G	
针对性同义词*	重点词*	手机型号			3C联通3G版	
针对性同义词*	重点词*	手机型号			H30-U10	
针对性同义词*	重点词*	手机型号		3C电信3G		
针对性同义词*	重点词*	手机型号			3C电信版3G	
针对性同义词*	重点词*	手机型号			3C电信3G版	
针对性同义词*	重点词*	手机型号			华为H30-C00	
针对性同义词*	重点词*	手机型号			H30-C00	
针对性同义词*	重点词*	手机型号			3C电信3G	
针对性同义词*	重点词*	手机型号		3C联通4G		
针对性同义词*	重点词*	手机型号			3C联通4G版	
针对性同义词*	重点词*	手机型号			3C联通4G	
针对性同义词*	重点词*	手机型号			H30-L02	
针对性同义词*	重点词*	手机型号			3C联通版4G	
针对性同义词*	重点词*	手机型号		G7 PLUS		
针对性同义词*	重点词*	手机型号			HUAWEI G7 PLUS	
针对性同义词*	重点词*	手机型号			华为G7PLUS	
针对性同义词*	重点词*	手机型号			HUAWEI G7PLUS	
针对性同义词*	重点词*	手机型号			G7 PLUS	
针对性同义词*	重点词*	手机型号			华为G7 PLUS	
针对性同义词*	重点词*	手机型号			G7PLUS	
针对性同义词*	重点词*	手机型号			G7,PLUS	
针对性同义词*	重点词*	手机型号		华为P8		
针对性同义词*	重点词*	手机型号			华为P8	
针对性同义词*	重点词*	手机型号			GRACE	
针对性同义词*	重点词*	手机型号			GRA	
针对性同义词*	重点词*	手机型号			P8	
针对性同义词*	重点词*	手机型号			ASCENDP8	
针对性同义词*	重点词*	手机型号			P8手机	
针对性同义词*	重点词*	手机型号			华为手机P8	
针对性同义词*	重点词*	手机型号			HUAWEIP8	
针对性同义词*	重点词*	手机型号			华为P8手机	
针对性同义词*	重点词*	手机型号			华为,P8	
针对性同义词*	重点词*	手机型号		K1 G01		
针对性同义词*	重点词*	手机型号			K1-G01	
针对性同义词*	重点词*	手机型号			K1 G01	
针对性同义词*	重点词*	手机型号		MATE8		
针对性同义词*	重点词*	手机型号			MT8	
针对性同义词*	重点词*	手机型号			华为ASCENDMATE8	
针对性同义词*	重点词*	手机型号			MATE8	
针对性同义词*	重点词*	手机型号			HUAWEI NXT-TL00	
针对性同义词*	重点词*	手机型号			MAT8	
针对性同义词*	重点词*	手机型号			马特8	
针对性同义词*	重点词*	手机型号			META8	
针对性同义词*	重点词*	手机型号			HUAWEI NXT-AL10	
针对性同义词*	重点词*	手机型号			妹八	
针对性同义词*	重点词*	手机型号			ASCENDMATE8	
针对性同义词*	重点词*	手机型号			METE8	
针对性同义词*	重点词*	手机型号			HUAWEI NXT-CL00	
针对性同义词*	重点词*	手机型号			美腿8	
针对性同义词*	重点词*	手机型号			MATE,8	
针对性同义词*	重点词*	手机型号			HUAWEI NXT-DL00	
针对性同义词*	重点词*	手机型号			M8	
针对性同义词*	重点词*	手机型号			妹8	
针对性同义词*	重点词*	手机型号			华为 HUAWEI MATE 8	
针对性同义词*	重点词*	手机型号			魅八	
针对性同义词*	重点词*	手机型号			华为 HUAWEI ASCEND MATE8	
针对性同义词*	重点词*	手机型号			MATE  8	
针对性同义词*	重点词*	手机型号			MATE 八	
针对性同义词*	重点词*	手机型号			NXT	
针对性同义词*	重点词*	手机型号			魅8	
针对性同义词*	重点词*	手机型号			美腿八	
