分类一	分类二	分类三	分类四	词类名	同义词
针对性同义词*	重点词*	业务动作		投送	
针对性同义词*	重点词*	业务动作			投送
通用同义词	常用词	名词%n		军帽	
通用同义词	常用词	名词%n			军帽
针对性同义词*	非重点词	其他		车轮查违章	
针对性同义词*	非重点词	其他			车轮查违章
天气词类	动词			开开	
天气词类	动词				开
天气词类	动词				开一下
针对性同义词*	重点词*	相关名词		冰箱	
针对性同义词*	重点词*	相关名词			电冰箱
针对性同义词*	重点词*	相关名词			冰柜
针对性同义词*	重点词*	相关名词			冰箱
针对性同义词*	重点词*	相关名词			冷柜
针对性同义词*	重点词*	相关名词		a2dp	
针对性同义词*	重点词*	相关名词			a2dp
针对性同义词*	非重点词	动词%v		投递	
针对性同义词*	非重点词	动词%v			投递
针对性同义词*	非重点词	动词%v			投
针对性同义词*	非重点词	动词%v			投放
天气词类	集合词#	时区类*	西6区	美国中部地区	
天气词类	集合词#	时区类*	西6区		杰克逊
天气词类	集合词#	时区类*	西6区		新奥尔良
天气词类	集合词#	时区类*	西6区		美国中部
天气词类	集合词#	时区类*	西6区		圣安东尼奥
天气词类	集合词#	时区类*	西6区		奥斯汀
天气词类	集合词#	时区类*	西6区		苏城
天气词类	集合词#	时区类*	西6区		圣路易斯
天气词类	集合词#	时区类*	西6区		芝加哥
天气词类	集合词#	时区类*	西6区		科珀斯克里斯刚
天气词类	集合词#	时区类*	西6区		小石城
天气词类	集合词#	时区类*	西6区		达拉斯
天气词类	集合词#	时区类*	西6区		麦迪逊
天气词类	集合词#	时区类*	西6区		奥马哈
天气词类	集合词#	时区类*	西6区		斯普林菲尔德
天气词类	集合词#	时区类*	西6区		圣保罗
天气词类	集合词#	时区类*	西6区		堪萨斯城
天气词类	集合词#	时区类*	西6区		布朗斯维尔
天气词类	集合词#	时区类*	西6区		威奇托
天气词类	集合词#	时区类*	西6区		俄克拉荷马城
天气词类	集合词#	时区类*	西6区		杰斐逊城
天气词类	集合词#	时区类*	西6区		休斯顿
