分类一	分类二	分类三	分类四	词类名	同义词	
针对性同义词*	重点词*	重点动词*3		停止		
针对性同义词*	重点词*	重点动词*3			停下	
针对性同义词*	重点词*	重点动词*3			停掉	
针对性同义词*	重点词*	重点动词*3			停滞不前	
针对性同义词*	重点词*	重点动词*3			不走了	
针对性同义词*	重点词*	重点动词*3			停顿	
针对性同义词*	重点词*	重点动词*3			停一下	
针对性同义词*	重点词*	重点动词*3			停止	
针对性同义词*	重点词*	重点动词*3			停	
针对性同义词*	重点词*	重点动词*3			终止	
针对性同义词*	重点词*	重点动词*3		呼叫限制		
针对性同义词*	重点词*	重点动词*3			呼叫限制	
针对性同义词*	重点词*	重点动词*3		振动		
针对性同义词*	重点词*	重点动词*3			震动	
针对性同义词*	重点词*	重点动词*3			振动	
针对性同义词*	重点词*	重点动词*3			震	
针对性同义词*	重点词*	重点动词*3			颤动	
针对性同义词*	重点词*	重点动词*3			振	
针对性同义词*	重点词*	重点动词*3			振作	
针对性同义词*	重点词*	重点动词*3			颤	
针对性同义词*	重点词*	重点动词*3		掉帧		
针对性同义词*	重点词*	重点动词*3			丢帧	
针对性同义词*	重点词*	重点动词*3			掉帧	
针对性同义词*	重点词*	重点动词*3		堵住		
针对性同义词*	重点词*	重点动词*3			堵塞	
针对性同义词*	重点词*	重点动词*3			堵住	
针对性同义词*	重点词*	重点动词*3			塞住	
针对性同义词*	重点词*	重点动词*3		闪动		
针对性同义词*	重点词*	重点动词*3			一闪一闪	
针对性同义词*	重点词*	重点动词*3			闪亮	
针对性同义词*	重点词*	重点动词*3			闪动	
针对性同义词*	重点词*	重点动词*3		卡纸		
针对性同义词*	重点词*	重点动词*3			卡纸	
针对性同义词*	重点词*	重点动词*3		沾到		
针对性同义词*	重点词*	重点动词*3			沾	
针对性同义词*	重点词*	重点动词*3			沾到	
针对性同义词*	重点词*	重点动词*3		不对焦		
针对性同义词*	重点词*	重点动词*3			不对焦	
针对性同义词*	重点词*	重点动词*3		进液		
针对性同义词*	重点词*	重点动词*3			进液	
针对性同义词*	重点词*	重点动词*3			泡水	
针对性同义词*	重点词*	重点动词*3			进油	
针对性同义词*	重点词*	重点动词*3			侵水	
针对性同义词*	重点词*	重点动词*3			浸液	
针对性同义词*	重点词*	重点动词*3			进菜汤	
针对性同义词*	重点词*	重点动词*3			进水	
针对性同义词*	重点词*	重点动词*3		挂起		
针对性同义词*	重点词*	重点动词*3			挂起	
针对性同义词*	重点词*	重点动词*3		耗费		
针对性同义词*	重点词*	重点动词*3			消耗	
针对性同义词*	重点词*	重点动词*3			耗费	
针对性同义词*	重点词*	重点动词*3			耗	
针对性同义词*	重点词*	业务动作		偏移		
针对性同义词*	重点词*	业务动作			偏右	
针对性同义词*	重点词*	业务动作			偏移	
针对性同义词*	重点词*	业务动作			偏左	
针对性同义词*	重点词*	业务动作		卡住		
针对性同义词*	重点词*	业务动作			变卡了	
针对性同义词*	重点词*	业务动作			忽块忽慢	
针对性同义词*	重点词*	业务动作			很卡	
针对性同义词*	重点词*	业务动作			不顺畅	
针对性同义词*	重点词*	业务动作			太卡	
针对性同义词*	重点词*	业务动作			不流畅	
针对性同义词*	重点词*	业务动作			卡顿	
针对性同义词*	重点词*	业务动作			卡了	
针对性同义词*	重点词*	业务动作			忽快忽慢	
针对性同义词*	重点词*	业务动作			卡卡	
针对性同义词*	重点词*	业务动作			卡住	
针对性同义词*	重点词*	业务动作			台卡	
针对性同义词*	重点词*	业务动作			卡机	
针对性同义词*	重点词*	业务动作			延迟	
针对性同义词*	重点词*	业务动作		不稳定		
针对性同义词*	重点词*	业务动作			不稳当	
针对性同义词*	重点词*	业务动作			不稳定	
针对性同义词*	重点词*	危机词		漏洞		
针对性同义词*	重点词*	危机词			漏洞	
针对性同义词*	重点词*	危机词			BUG	
针对性同义词*	重点词*	危机词		冒烟		
